City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kathu,TH,87.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
5,Ha Giang,VN,93.15,scattered clouds,22.8333,104.9833,Truong Xuan Ecolodge
9,Butaritari,KI,81.82,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Meulaboh,ID,86.13,scattered clouds,4.1363,96.1285,Kost Pria
21,San Patricio,US,84.85,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
28,Kavieng,PG,84.15,light rain,-2.5744,150.7967,Nusa Island Retreat
35,Carnarvon,AU,89.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
46,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,Bandarbeyla,SO,84.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
49,Abu Dhabi,AE,95.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
51,Lorengau,PG,84.88,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Rancho Palos Verdes,US,88.11,broken clouds,33.7445,-118.387,Terranea Resort
62,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
63,Hithadhoo,MV,83.08,broken clouds,-0.6,73.0833,Scoop Guest House
64,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Namuac,PH,87.03,clear sky,18.6109,121.1657,Mlin Hotel
73,Anand,IN,87.78,broken clouds,22.5667,72.9333,DMAPR Guest House
86,Vanimo,PG,84.52,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Isla Mujeres,MX,80.26,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
91,Taloqan,AF,90.37,clear sky,36.7361,69.5345,Saraisang street
93,Santa Rosa,PH,91.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
94,Puerto Escondido,MX,80.74,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
101,Gizo,SB,81.84,light rain,-8.103,156.8419,Imagination Island
106,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
107,Sidhi,IN,88.23,overcast clouds,24.4167,81.8833,Kamdhenu Sweets
109,Sarangani,PH,83.7,overcast clouds,5.4033,125.4636,Ballistic Islet
111,Bilma,NE,86.05,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
126,Rach Gia,VN,84.15,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
136,Bengkulu,ID,82.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
139,Phuntsholing,BT,89.44,overcast clouds,26.8516,89.3884,Hotel White House
153,Komsomolskiy,UZ,85.35,clear sky,40.4272,71.7189,Ikathouse
161,Kudahuvadhoo,MV,82.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
162,Bhasawar,IN,91.4,overcast clouds,27.0333,77.0333,Babeli Tent House बबली टेंट हाउस
166,Saint George,US,86.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
173,Sur,OM,90.93,few clouds,22.5667,59.5289,Sur Plaza Hotel
192,Akyab,MM,82.6,overcast clouds,20.15,92.9,Hotel Memory
195,Pedernales,DO,80.73,clear sky,18.0384,-71.744,Hotel Costa Marina
197,Bima,ID,90.77,overcast clouds,-8.4667,118.7167,Lambitu Hotel
216,Yanam,IN,81.0,heavy intensity rain,16.7333,82.2167,The Regency Hotel
222,Wanning,CN,87.39,broken clouds,18.8003,110.3967,Paradise Hotel
223,Singapore,SG,91.31,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
233,Ajdabiya,LY,82.15,clear sky,30.7554,20.2263,Almadina Hotel
241,Port Blair,IN,84.34,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
247,Fukue,JP,82.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
249,The Valley,AI,84.06,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
252,Shache,CN,85.57,clear sky,38.4167,77.2406,Delong Hotel
254,Dharchula,IN,83.98,few clouds,29.85,80.5333,Mahara Hotel
261,Kattivakkam,IN,87.89,moderate rain,13.2167,80.3167,Euronova Freezer
263,Tura,IN,80.26,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
266,Bafq,IR,90.14,clear sky,31.6128,55.4107,Alamdar Hotel
267,Sorong,ID,82.94,overcast clouds,-0.8833,131.25,waigo splash hotel
271,Turbat,PK,94.41,scattered clouds,26.0023,63.044,Mubashar Quarters
273,Qui Nhon,VN,85.19,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
275,Dwarka,IN,83.03,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
284,Ca Mau,VN,88.07,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
299,Beruwala,LK,82.11,overcast clouds,6.4788,79.9828,The Palms Hotel
301,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
315,Madang,PG,83.53,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
320,Nara,JP,87.12,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
334,Topolobampo,MX,80.06,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
338,Mataram,ID,88.61,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
340,Punta Cardon,VE,81.68,broken clouds,11.6581,-70.215,Bambuda hotel
341,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
342,Ardakan,IR,86.38,clear sky,32.31,54.0175,Ardakan Hotel
345,Waingapu,ID,86.92,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
346,Port Hedland,AU,91.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
349,Ormara,PK,81.14,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
356,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
368,Atar,MR,86.36,scattered clouds,20.5169,-13.0499,Oumou Elghoura
373,Manono,CD,81.09,clear sky,-7.3,27.4167,Hotel hewa bora
374,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
375,Laminusa,PH,82.92,moderate rain,5.5549,120.9136,Laminusa Port
377,Erzin,TR,81.12,clear sky,36.9559,36.2,Artemis Otel
378,Laguna,US,82.45,haze,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
397,Victoria,HK,91.36,scattered clouds,22.2855,114.1577,Mini Hotel Central
400,Subang,ID,85.64,overcast clouds,-7.1277,108.5283,TPU BAGUS JAYA NGOHOL
404,Jian,CN,93.36,light rain,27.1172,114.9793,Luling International Hotel
407,Rio Verde De Mato Grosso,BR,81.93,few clouds,-18.9181,-54.8442,Hotel Valência
408,Yen Bai,VN,90.0,scattered clouds,21.7,104.8667,AK MOTEL
410,Jertih,MY,87.67,overcast clouds,5.7336,102.4897,One Utama Hotel
417,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
419,Boyolangu,ID,85.93,broken clouds,-8.1181,111.8935,Yos ega cv
426,Mamontovo,RU,85.78,clear sky,52.7055,81.6244,Hostel Postoyaliy Dvor
427,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
429,Riyadh,SA,100.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
431,Hambantota,LK,88.14,broken clouds,6.1241,81.1185,Bungalow 63
435,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
436,Shingu,JP,83.39,overcast clouds,33.7333,135.9833,Shingu UI Hotel
442,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
445,Naze,JP,83.32,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
446,Kieta,PG,83.48,few clouds,-6.2167,155.6333,Uruna Bay Retreat
447,Mandla,IN,87.28,overcast clouds,22.6,80.3833,Bison Resort
448,Labuan,MY,89.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
456,Karratha,AU,83.03,clear sky,-20.7377,116.8463,ibis Styles Karratha
461,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
472,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
473,Buala,SB,82.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
477,Mozarlandia,BR,80.73,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
479,Pak Phanang,TH,89.62,broken clouds,8.3511,100.202,Green Park Inn Hotel
482,Sampit,ID,82.58,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
483,Korla,CN,84.34,clear sky,41.7597,86.1469,Gulisitan Hotel
484,Luwuk,ID,82.94,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
486,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
490,Cabra,ES,83.39,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
491,Payo,ID,89.78,overcast clouds,-3.7508,103.6372,Mess keban agung
492,Kuliyapitiya,LK,83.88,moderate rain,7.4688,80.0401,Rest House
498,Nouakchott,MR,82.33,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
503,Alyangula,AU,80.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
507,Chenghai,CN,93.11,scattered clouds,23.4632,116.768,Guangdong Hotel
514,Naifaru,MV,82.72,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
524,Aloleng,PH,84.43,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
527,Vieques,PR,84.22,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
534,Iztapa,GT,82.63,broken clouds,13.9333,-90.7075,Villas de Puerto Viejo
546,Tagusao,PH,82.9,overcast clouds,9.1924,117.8141,Toledo
550,Lumut,MY,89.96,scattered clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
554,Ojinaga,MX,86.41,clear sky,29.5667,-104.4167,Suites Las Palmas
559,Yining,CN,84.88,broken clouds,29.0361,114.5636,Xiushui Hotel
562,Davila,PH,87.78,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
564,Madeji,PK,96.82,clear sky,27.7544,68.4526,Maki Madani hotal Madeji
568,Pakaur,IN,89.08,overcast clouds,24.6333,87.85,Jannisar Ansari
572,Labuhan,ID,87.89,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
580,Hobyo,SO,81.39,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
589,Bitoon,PH,80.22,light rain,10.0804,123.4587,La Montera Beach
592,Marsh Harbour,BS,82.94,clear sky,26.5412,-77.0636,Abaco Beach Resort
595,Muli,MV,82.69,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
596,Dingle,PH,85.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
600,Alugan,PH,84.2,light rain,12.2188,125.4808,JM Lodge
604,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
605,Biak,ID,80.33,overcast clouds,-0.9131,122.8766,Penginapan Kim
607,Buluang,PH,82.83,light rain,13.3068,123.3425,Enon Beach Resort
609,Damietta,EG,84.09,clear sky,31.4165,31.8133,SULIMAN INN
618,Bosaso,SO,96.78,clear sky,11.2842,49.1816,Red Sea Hotel
625,Bageshwar,IN,85.32,scattered clouds,29.85,79.7667,Danu Janral Store
628,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
629,Ugoofaaru,MV,82.47,overcast clouds,5.6667,73.0,Ungoofaaru Inn
630,Kampong Thum,KH,85.5,broken clouds,12.7111,104.8887,Sambor Village Hotel
631,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
636,Kaohsiung,TW,89.55,broken clouds,22.6163,120.3133,御宿商旅-中山館
638,Iberia,US,82.47,clear sky,29.9502,-91.7507,back to back rv park
640,Pundaguitan,PH,83.44,light rain,6.3711,126.1689,Leonardo Family Beach House 1
643,Japura,ID,92.39,broken clouds,-0.3167,102.35,Rumah mbah Jamah
649,Shenjiamen,CN,84.49,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
663,Mehriz,IR,81.1,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
669,San Antonio,US,85.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
672,Tezu,IN,88.38,broken clouds,27.9167,96.1667,Circuit House
675,Galle,LK,81.66,overcast clouds,6.0367,80.217,Amangalla
